strike,moneyness,bid,ask,mid_price,iv_naive,iv_bid,iv_ask,delta_obs,delta_adj,micro_fraction,gamma
53200.0,0.941593,3510.1,3582.95,3510.0,0.72462,0.752669,0.778973,0.079859,0.026304,0.670622,6.8e-05
53300.0,0.943363,3405.7,3486.7,3497.7,0.802732,0.731559,0.766514,0.087825,0.034955,0.601994,7.1e-05
53400.0,0.945133,3294.1,3384.75,3321.35,0.705623,0.70255,0.747902,0.098269,0.045352,0.538491,7.3e-05
53500.0,0.946903,3250.3,3278.05,3260.0,0.730616,0.745121,0.724302,0.028479,0.0,1.0,7.6e-05
53600.0,0.948673,3144.15,3200.9,3184.55,0.738493,0.722015,0.731061,0.056912,0.009046,0.841054,7.9e-05
53700.0,0.950442,3057.55,3108.35,3057.95,0.69503,0.718135,0.721489,0.049618,0.003354,0.932404,8.2e-05
53800.0,0.952212,2970.4,3011.85,2997.1,0.716194,0.713121,0.707786,0.039569,0.0,1.0,8.4e-05
53900.0,0.953982,2846.4,2933.3,2900.0,0.701496,0.673005,0.710773,0.082175,0.037768,0.540395,8.7e-05
54000.0,0.955752,2789.45,2821.2,2832.7,0.713569,0.69545,0.682034,0.029068,0.0,1.0,9e-05
54100.0,0.957522,2685.2,2734.35,2670.0,0.638631,0.673801,0.676532,0.044226,0.002731,0.938248,9.5e-05
54200.0,0.959292,2604.45,2657.3,2623.65,0.669588,0.672699,0.679061,0.045995,0.006362,0.861679,9.8e-05
54300.0,0.961062,2501.25,2559.65,2586.2,0.704152,0.651719,0.662967,0.050186,0.011248,0.775881,9.9e-05
54400.0,0.962832,2418.85,2478.85,2392.45,0.60629,0.648161,0.660886,0.050099,0.012725,0.746013,0.000107
54500.0,0.964602,2347.35,2379.2,2355.0,0.640958,0.652687,0.64258,0.025947,0.0,1.0,0.000109
54600.0,0.966372,2260.2,2299.2,2288.0,0.648513,0.643758,0.640007,0.031004,0.0,1.0,0.000112
54700.0,0.968142,2186.35,2208.8,2180.0,0.622935,0.644557,0.628492,0.017417,0.0,1.0,0.000117
54800.0,0.969912,2104.65,2123.15,2098.8,0.618002,0.638522,0.620234,0.014037,0.0,1.0,0.000121
54900.0,0.971681,2020.3,2035.4,2023.35,0.616651,0.629892,0.609838,0.011229,0.0,1.0,0.000124
55000.0,0.973451,1940.8,1950.9,1950.0,0.615937,0.624186,0.601352,0.007354,0.0,1.0,0.000128
55100.0,0.975221,1858.7,1882.15,1850.0,0.595279,0.615948,0.603632,0.016693,0.0,1.0,0.000134
55200.0,0.976991,1778.3,1797.95,1775.45,0.592331,0.608264,0.593962,0.013727,0.0,1.0,0.000138
55300.0,0.978761,1701.55,1719.55,1698.25,0.5867,0.602395,0.587715,0.012335,0.0,1.0,0.000142
55400.0,0.980531,1624.4,1642.25,1614.55,0.575908,0.595507,0.581474,0.012013,0.0,1.0,0.000147
55500.0,0.982301,1556.95,1559.6,1555.75,0.58102,0.594251,0.570902,0.001753,0.0,1.0,0.000149
55600.0,0.984071,1477.9,1493.45,1494.55,0.583377,0.584558,0.570503,0.010118,0.0,1.0,0.000151
55700.0,0.985841,1402.0,1420.15,1403.5,0.565537,0.576167,0.564494,0.011638,0.0,1.0,0.000157
55800.0,0.987611,1334.4,1348.75,1333.4,0.560436,0.572229,0.558852,0.009074,0.0,1.0,0.000161
55900.0,0.989381,1264.0,1275.85,1282.55,0.566463,0.565637,0.551394,0.007402,0.0,1.0,0.000162
56000.0,0.99115,1196.5,1207.5,1200.0,0.551752,0.559956,0.545897,0.006796,0.0,1.0,0.000168
56100.0,0.99292,1130.25,1142.45,1127.1,0.542199,0.554119,0.541493,0.007466,0.0,1.0,0.000172
56200.0,0.99469,1068.05,1074.6,1063.0,0.537098,0.549791,0.534407,0.003977,0.0,1.0,0.000175
56300.0,0.99646,1004.45,1012.35,1002.55,0.533204,0.54363,0.52974,0.004768,0.0,1.0,0.000178
56400.0,0.99823,943.45,950.0,943.45,0.529087,0.538032,0.523987,0.003936,0.0,1.0,0.00018
56500.0,1.0,891.7,894.6,894.55,0.530032,0.536947,0.521355,0.001739,0.0,1.0,0.00018
56600.0,1.00177,833.6,835.0,835.0,0.523513,0.53099,0.515121,0.000839,0.0,1.0,0.000182
56700.0,1.00354,777.8,779.2,772.85,0.514332,0.525324,0.510057,0.000841,0.0,1.0,0.000185
56800.0,1.00531,724.95,727.15,727.15,0.513908,0.520317,0.506109,0.001327,0.0,1.0,0.000184
56900.0,1.00708,672.25,674.0,674.6,0.508214,0.514248,0.500333,0.001062,0.0,1.0,0.000185
